School,Gender,Age,Address,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Travel_Time,Study_Time,Number_of_Failures,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Family_Relationship,Free_Time,Going_Out,Weekend_Alcohol_Consumption,Weekday_Alcohol_Consumption,Health_Status,Number_of_Absences,Grade_1,Grade_2,Final_Grade,Dropped_Out
School D,Other,15,Urban,1,Together,Secondary,Secondary,Service,Technology,Course,Mother,11,5,0,No,Yes,No,No,No,No,No,No,Bad,3,1,Very High,Low,Very Bad,2,,16,14,No
School B,Female,16,Rural,,Together,Higher,None,Technology,Healthcare,Reputation,Other,5,2,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Bad,,2,High,Medium,Excellent,1,,18,14,No
School C,Other,16,Suburban,6,Apart,Higher,Primary,Unemployed,Technology,Reputation,Mother,0,5,0,No,Yes,Yes,No,No,Yes,Yes,Yes,Very Bad,2,5,Very High,Low,Neutral,3,17,11,10,Yes
School B,Male,16,Rural,3,Together,Primary,None,Service,Service,Reputation,Father,36,2,1,Yes,Yes,Yes,No,No,Yes,Yes,No,Very Bad,4,5,Low,High,Bad,3,8,17,15,No
School C,Male,17,Suburban,1,Together,Primary,Primary,Healthcare,Education,Course,Mother,22,2,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Very Bad,3,4,None,Medium,Neutral,0,17,17,17,No
School B,Other,15,Suburban,8,Apart,Higher,Primary,Unemployed,Healthcare,Reputation,Mother,62,1,0,Yes,No,No,Yes,Yes,Yes,No,Yes,Good,4,1,High,Medium,Very Bad,3,,16,12,No
School A,Male,16,Rural,2,Together,Secondary,Secondary,Service,Business,Course,Father,115,2,0,Yes,Yes,Yes,No,Yes,Yes,No,No,Very Bad,,1,Very High,Medium,Good,4,11,11,16,No
School C,Other,17,Suburban,5,Apart,Primary,Secondary,Unemployed,Business,Reputation,Mother,9,4,0,Yes,No,No,Yes,No,Yes,No,Yes,Good,2,2,High,Low,Good,1,15,12,12,No
School B,Male,14,Urban,5,Apart,None,None,Business,Service,Reputation,Father,27,0,0,No,No,No,No,Yes,No,Yes,Yes,Bad,5,5,Very High,Low,Good,1,15,11,12,No
School D,Other,,Rural,3,Apart,None,Primary,Business,Healthcare,Other,Mother,26,6,0,No,No,Yes,No,No,No,No,No,Good,5,5,Medium,Medium,Very Bad,2,13,13,17,No
School D,Male,14,Suburban,3,Together,None,None,Healthcare,Business,Other,Other,6,3,0,No,No,Yes,Yes,Yes,No,Yes,No,Bad,4,5,High,Low,Excellent,0,16,18,14,No
School B,Female,15,Suburban,2,Together,Secondary,None,Healthcare,Unemployed,Reputation,Father,0,6,0,Yes,No,No,Yes,Yes,No,No,No,Neutral,5,3,Very High,Low,Excellent,4,11,18,12,No
School B,Other,15,Rural,6,Together,None,Secondary,Business,Technology,Course,Father,,5,0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Excellent,,5,Very High,Very High,Bad,0,17,14,7,Yes
School C,Other,14,Suburban,6,Apart,Primary,Primary,Unemployed,Healthcare,Other,Mother,6,1,0,Yes,Yes,Yes,Yes,Yes,No,No,No,Very Bad,2,2,None,Low,Neutral,2,9,11,14,Yes
School D,Other,16,Urban,2,Apart,Primary,Higher,Healthcare,Education,Other,Other,13,7,0,Yes,No,No,Yes,No,No,Yes,No,Very Bad,3,5,Low,Medium,Excellent,2,18,14,14,No
School B,Female,14,Suburban,1,Together,Secondary,None,Service,Education,Home,Other,12,7,0,Yes,Yes,Yes,No,Yes,No,No,Yes,Excellent,5,4,None,Medium,Neutral,3,15,6,7,No
School D,Female,16,Rural,8,Apart,Higher,Higher,Service,Healthcare,Reputation,Father,13,4,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Excellent,5,5,Low,Very High,Good,5,14,12,17,No
School D,Male,14,Urban,5,Together,Secondary,Secondary,Education,Unemployed,Reputation,Other,3,2,0,No,No,Yes,Yes,No,No,Yes,No,Neutral,5,4,None,None,Bad,5,13,13,16,No
School D,Female,13,Rural,7,Apart,Primary,Higher,Business,Education,Course,Mother,14,1,0,Yes,No,No,No,No,Yes,No,Yes,Neutral,4,4,High,Very High,Bad,6,18,9,8,No
School D,Other,15,Urban,8,Together,Secondary,Secondary,Technology,Education,Home,Mother,6,2,0,No,Yes,Yes,Yes,Yes,No,No,Yes,Good,2,5,High,None,Good,7,17,12,11,No
School B,Female,16,Rural,3,Together,None,None,Unemployed,Business,Reputation,Other,22,4,0,Yes,No,Yes,No,No,No,No,Yes,Excellent,1,5,High,Very High,Good,5,12,14,15,No
School C,Female,15,Suburban,3,Together,Primary,None,Education,Business,Other,Father,72,1,0,No,No,Yes,Yes,Yes,No,Yes,No,Very Bad,1,1,Low,Very High,Good,4,,14,15,No
School B,Other,17,Rural,4,Apart,Primary,Secondary,Healthcare,Technology,Course,Other,1,3,0,No,Yes,Yes,Yes,No,Yes,No,No,Excellent,5,4,Medium,Low,Excellent,0,13,18,13,No
School D,Male,16,Urban,3,Together,Higher,Higher,Service,Technology,Other,Other,12,5,0,No,Yes,No,Yes,Yes,No,No,Yes,Very Bad,3,2,High,High,Bad,4,12,8,5,No
School C,Other,16,Suburban,6,Together,Higher,Secondary,Unemployed,Unemployed,Course,Father,36,1,0,Yes,Yes,No,No,No,No,Yes,No,Good,4,2,Low,Low,Bad,4,14,18,14,No
School D,Other,16,Suburban,3,Apart,Primary,Primary,Education,Service,Reputation,Other,1,1,0,No,No,No,Yes,Yes,No,No,Yes,Excellent,3,5,Medium,Very High,Good,1,14,10,18,No
School A,Female,17,Urban,8,Together,None,Primary,Education,Business,Reputation,Father,28,1,0,No,Yes,Yes,Yes,No,Yes,No,No,Neutral,2,5,Very High,Medium,Very Bad,0,12,18,13,No
School B,Female,15,Suburban,7,Apart,Higher,Primary,Business,Healthcare,Home,Father,10,2,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Good,4,1,High,Very High,Bad,1,8,,10,Yes
School D,Other,16,Urban,6,Apart,Secondary,Secondary,Service,Healthcare,Course,Mother,28,4,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Bad,3,2,Very High,None,Very Bad,4,11,17,17,No
School C,Female,14,Rural,,Apart,Secondary,Secondary,Education,Education,Other,Other,8,1,0,Yes,Yes,No,No,Yes,No,No,Yes,Neutral,3,4,None,None,Bad,0,7,,17,No
School B,Male,16,Suburban,6,Apart,Secondary,Secondary,Unemployed,Unemployed,Other,Other,29,2,1,No,No,Yes,Yes,No,No,Yes,Yes,Excellent,2,4,High,High,Neutral,0,16,12,17,No
School C,Other,16,Suburban,2,Apart,Higher,None,Education,Business,Course,Mother,15,2,0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Excellent,5,5,None,Low,Good,3,10,14,15,No
School C,Female,14,Urban,8,Together,Higher,Secondary,Business,Unemployed,Other,Father,9,1,0,Yes,Yes,Yes,No,No,No,No,No,Excellent,3,3,Medium,Medium,Neutral,13,5,12,18,Yes
School A,Other,15,Urban,7,Together,Higher,Secondary,Technology,Technology,Reputation,Mother,1,3,0,Yes,No,No,Yes,No,Yes,No,No,Excellent,5,5,Very High,Medium,Good,2,14,18,16,No
School C,Female,16,Suburban,3,Together,None,Primary,Unemployed,Service,Course,Other,21,8,0,No,No,Yes,Yes,No,No,No,Yes,Neutral,3,5,Low,High,Bad,2,,17,12,No
School C,Female,17,Rural,3,Together,None,Higher,Unemployed,Business,Reputation,Mother,26,2,0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Very Bad,3,3,None,High,Bad,1,16,14,,No
School D,Other,16,Urban,3,Together,Higher,Higher,Technology,Service,Home,Other,3,4,0,No,No,Yes,No,Yes,Yes,Yes,No,Good,2,2,Low,Very High,Bad,0,18,18,10,No
School B,Other,17,Urban,3,Together,Secondary,Secondary,Business,Unemployed,Course,Mother,21,8,0,No,Yes,No,Yes,Yes,Yes,Yes,No,Bad,2,4,Very High,Medium,Excellent,0,13,11,15,No
School A,Other,13,Rural,1,Apart,Primary,None,Healthcare,Healthcare,Reputation,Mother,43,4,0,Yes,No,Yes,Yes,Yes,Yes,No,No,Very Bad,2,4,Medium,Medium,Good,0,15,,12,No
School C,Other,15,Rural,5,Apart,Primary,Secondary,Service,Healthcare,Other,Mother,3,1,0,Yes,No,Yes,No,No,No,No,No,Neutral,5,1,High,Low,Very Bad,0,10,18,13,No
School B,Female,15,Rural,5,Apart,None,None,Service,Technology,Reputation,Father,32,7,0,Yes,No,Yes,No,Yes,No,No,No,Very Bad,3,,Very High,Medium,Bad,1,,13,13,No
School B,Female,14,Rural,6,Apart,Primary,None,Education,Service,Reputation,Mother,15,3,0,Yes,Yes,Yes,No,Yes,No,No,No,Neutral,5,3,Very High,Low,Bad,2,,16,17,No
School B,Female,17,Urban,6,Together,None,Secondary,Healthcare,Service,Course,Mother,8,1,0,No,Yes,Yes,No,Yes,No,No,Yes,Bad,1,1,High,Low,Good,4,,14,17,No
School B,Other,,Rural,3,Apart,None,None,Business,Business,Course,Father,,3,0,No,No,No,No,No,Yes,No,Yes,Very Bad,2,1,High,Low,Very Bad,0,9,13,11,No
School A,Male,16,Urban,3,Together,Primary,Higher,Unemployed,Healthcare,Course,Mother,5,1,1,No,No,No,No,Yes,No,No,Yes,Bad,4,2,Very High,Medium,Good,3,13,9,10,No
School D,Female,13,Suburban,7,Together,Primary,None,Business,Technology,Reputation,Father,10,2,0,No,Yes,No,No,No,Yes,No,No,Good,3,2,High,Medium,Good,5,12,9,19,No
School C,Female,17,Suburban,5,Apart,None,None,Service,Healthcare,Reputation,Father,18,6,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Bad,5,4,High,Medium,Bad,1,15,19,17,No
School D,Other,18,Rural,4,Apart,None,Higher,Education,Business,Home,Father,9,2,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Bad,,2,Medium,Low,Neutral,0,16,11,18,No
School D,Female,14,Urban,1,Together,None,None,Business,Healthcare,Course,Other,30,0,0,No,Yes,No,No,Yes,Yes,Yes,No,Good,4,1,Low,Medium,Neutral,3,9,17,14,No
School C,Other,17,Rural,3,Together,Secondary,Primary,Healthcare,Healthcare,Course,Mother,6,3,0,Yes,No,No,Yes,No,No,No,Yes,Good,5,1,High,Low,Bad,1,15,16,15,No
School B,Male,17,Urban,3,Apart,None,Secondary,Unemployed,Healthcare,Reputation,Other,13,5,0,No,No,No,No,No,Yes,Yes,No,Bad,5,2,Very High,None,Bad,0,15,16,16,No
School D,Other,15,Suburban,3,Together,Primary,Primary,Unemployed,Unemployed,Course,Other,5,5,0,Yes,No,Yes,Yes,No,No,Yes,No,Very Bad,2,2,High,High,Bad,2,,,15,No
School B,Female,14,Rural,4,Together,Primary,Higher,Unemployed,Service,Course,Mother,8,4,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Neutral,4,2,Medium,Medium,Very Bad,3,17,16,15,No
School A,Other,17,Urban,1,Together,Primary,Higher,Healthcare,Education,Course,Mother,20,3,0,Yes,No,No,No,Yes,No,Yes,No,Very Bad,3,,None,Low,Excellent,1,18,9,13,No
School B,Other,16,Urban,1,Apart,None,Secondary,Unemployed,Unemployed,Course,Mother,35,4,0,Yes,No,Yes,No,Yes,Yes,No,Yes,Bad,5,4,Medium,None,Neutral,0,19,19,14,No
School C,Female,15,Urban,5,Apart,Secondary,Primary,Healthcare,Healthcare,Other,Other,7,6,0,No,No,Yes,Yes,No,No,No,Yes,Neutral,1,3,Medium,Very High,Very Bad,6,16,16,16,No
School A,Male,12,Rural,7,Together,None,Higher,Business,Unemployed,Reputation,Father,35,2,0,No,Yes,No,Yes,Yes,No,Yes,No,Bad,1,2,Medium,None,Good,4,16,17,14,No
School B,Other,14,Rural,1,Together,Primary,Higher,Service,Service,Home,Father,2,4,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Neutral,3,1,Medium,None,Neutral,1,17,16,17,Yes
School D,Male,12,Urban,8,Together,Primary,Primary,Unemployed,Technology,Home,Mother,22,6,0,No,No,No,No,Yes,Yes,Yes,Yes,Bad,1,5,None,Low,Very Bad,4,,13,16,No
School D,Female,,Rural,2,Together,Primary,None,Service,Unemployed,Reputation,Mother,2,3,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,5,2,High,Medium,Bad,7,15,10,13,No
School B,Male,16,Suburban,4,Together,Primary,None,Technology,Education,Course,Mother,13,1,0,Yes,No,Yes,Yes,No,No,No,Yes,Good,1,1,Very High,Low,Excellent,0,7,8,18,No
School A,Other,16,Suburban,1,Apart,Higher,Primary,Education,Business,Home,Mother,37,5,0,No,Yes,No,Yes,No,No,No,Yes,Bad,1,4,Very High,Low,Bad,1,13,17,11,No
School C,Female,15,Urban,,Apart,None,Primary,Technology,Business,Reputation,Mother,0,3,0,Yes,No,Yes,No,No,Yes,No,No,Very Bad,4,1,Medium,Medium,Excellent,5,19,14,13,No
School A,Other,17,Suburban,2,Together,Secondary,Primary,Unemployed,Technology,Home,Father,4,0,0,No,Yes,No,Yes,Yes,No,Yes,No,Excellent,3,5,Medium,High,Neutral,0,14,16,18,No
School A,Female,17,Suburban,8,Together,None,Primary,Education,Business,Home,Mother,14,1,0,No,Yes,No,Yes,Yes,No,Yes,No,Excellent,2,2,None,Low,Neutral,1,14,11,13,No
School A,Male,16,Urban,6,Together,Primary,Higher,Healthcare,Technology,Course,Mother,23,0,0,Yes,Yes,No,Yes,Yes,No,Yes,No,Very Bad,3,2,High,Very High,Excellent,2,14,16,12,No
School D,Male,15,Urban,5,Together,Higher,Secondary,Technology,Technology,Reputation,Father,45,5,0,No,Yes,No,Yes,No,Yes,Yes,Yes,Very Bad,1,3,Very High,None,Good,0,11,8,17,No
School D,Other,14,Urban,3,Apart,Primary,None,Service,Healthcare,Other,Father,25,3,1,No,No,Yes,No,No,No,No,Yes,Neutral,3,5,Medium,High,Very Bad,10,15,12,16,No
School D,Male,16,Urban,1,Apart,Secondary,None,Healthcare,Technology,Other,Father,9,12,1,No,No,No,Yes,Yes,Yes,No,Yes,Neutral,2,2,Low,Medium,Very Bad,0,12,14,13,No
School C,Other,14,Urban,3,Apart,Higher,None,Education,Education,Course,Mother,23,4,0,No,No,No,Yes,Yes,No,Yes,Yes,Excellent,1,1,None,Very High,Neutral,3,,17,17,No
School C,Other,12,Rural,1,Together,None,Higher,Education,Business,Home,Other,3,,1,Yes,No,Yes,Yes,No,No,Yes,Yes,Good,5,1,High,Medium,Good,1,19,15,15,No
School B,Other,16,Rural,3,Apart,Primary,Primary,Service,Healthcare,Course,Father,4,4,0,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Very Bad,4,,Low,Very High,Neutral,0,11,13,19,No
School B,Male,16,Urban,7,Apart,Higher,None,Business,Healthcare,Other,Mother,6,6,0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Neutral,4,2,Very High,Very High,Good,0,17,12,16,No
School B,Male,14,Urban,8,Together,Primary,Primary,Unemployed,Technology,Course,Mother,4,4,0,Yes,Yes,Yes,No,No,Yes,No,Yes,Very Bad,3,4,Low,Low,Bad,0,15,10,17,No
School C,Male,17,Urban,3,Apart,Primary,Higher,Business,Service,Reputation,Mother,5,0,1,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Excellent,1,3,Medium,Medium,Bad,1,12,14,15,No
School A,Other,12,Rural,5,Together,Primary,Secondary,Unemployed,Business,Course,Mother,0,6,1,Yes,Yes,No,No,Yes,No,No,No,Neutral,5,4,None,Low,Good,6,17,13,12,No
School C,Male,15,Suburban,5,Apart,Primary,Secondary,Service,Education,Home,Other,,3,0,Yes,No,Yes,No,No,No,Yes,No,Good,5,1,Low,Low,Good,7,13,13,16,No
School B,Other,15,Rural,4,Apart,None,Secondary,Healthcare,Healthcare,Other,Father,25,9,0,Yes,No,No,No,No,Yes,Yes,No,Neutral,5,4,Very High,Very High,Neutral,1,13,12,14,No
School C,Male,16,Rural,,Apart,Higher,Secondary,Service,Healthcare,Home,Mother,15,1,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Excellent,3,4,None,Medium,Very Bad,1,13,18,8,No
School B,Other,19,Urban,8,Apart,Secondary,Higher,Technology,Business,Course,Other,1,1,0,No,No,No,Yes,No,Yes,Yes,No,Bad,1,2,High,Very High,Good,0,12,14,16,No
School A,Female,19,Suburban,,Together,Secondary,None,Healthcare,Technology,Course,Other,5,6,0,Yes,Yes,Yes,No,No,Yes,No,No,Bad,2,1,High,Medium,Bad,2,9,15,11,No
School B,Male,17,Urban,2,Together,Primary,Secondary,Business,Healthcare,Course,Other,5,0,0,No,No,No,Yes,No,No,No,No,Neutral,3,2,None,Medium,Good,3,14,10,7,No
School C,Female,19,Urban,1,Together,Primary,Primary,Unemployed,Service,Other,Other,43,2,0,No,No,No,No,No,Yes,No,No,Excellent,2,2,None,Low,Excellent,4,13,15,13,No
School B,Other,13,Urban,1,Apart,None,Higher,Technology,Technology,Course,Other,,11,0,No,No,Yes,Yes,No,Yes,No,Yes,Excellent,4,1,High,Low,Neutral,1,17,18,15,No
School B,Female,13,Rural,6,Together,Secondary,Higher,Unemployed,Healthcare,Course,Other,5,3,0,No,Yes,No,No,No,No,Yes,No,Very Bad,5,5,High,Very High,Very Bad,0,17,13,17,No
School A,Other,18,Rural,1,Apart,None,Secondary,Service,Technology,Course,Other,37,0,0,No,Yes,No,Yes,Yes,Yes,No,No,Bad,2,1,None,Very High,Bad,0,12,,11,Yes
School C,Female,17,Suburban,1,Together,Primary,None,Healthcare,Education,Other,Other,48,3,0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Good,2,2,Very High,High,Bad,3,18,14,12,No
School A,Female,17,Rural,,Apart,Primary,None,Service,Healthcare,Course,Other,30,1,1,Yes,Yes,Yes,Yes,No,No,No,Yes,Very Bad,4,3,None,Low,Very Bad,0,16,16,12,No
School C,Male,14,Suburban,8,Together,Primary,Primary,Unemployed,Technology,Course,Father,1,1,0,No,No,Yes,Yes,No,Yes,No,No,Excellent,2,1,High,Low,Good,4,11,17,19,Yes
School A,Other,15,Rural,5,Together,Primary,None,Service,Healthcare,Other,Father,47,4,1,Yes,No,No,No,Yes,Yes,No,No,Excellent,2,1,None,None,Neutral,0,18,11,,No
School B,Other,16,Rural,7,Apart,Secondary,None,Service,Healthcare,Other,Father,1,9,0,Yes,No,No,Yes,No,No,No,No,Excellent,2,1,Low,Medium,Bad,0,12,17,12,No
School D,Male,15,Rural,4,Together,Secondary,Higher,Technology,Education,Other,Other,16,7,1,No,Yes,No,No,Yes,Yes,No,No,Excellent,2,4,Medium,Low,Good,2,15,18,17,Yes
School A,Other,15,Suburban,7,Apart,Primary,Secondary,Unemployed,Service,Reputation,Father,25,1,0,Yes,Yes,No,No,No,No,Yes,Yes,Very Bad,1,4,Very High,Medium,Neutral,0,16,11,12,No
School B,Male,15,Suburban,8,Together,None,Primary,Technology,Education,Other,Mother,63,1,0,Yes,No,No,Yes,Yes,No,No,No,Neutral,2,3,Very High,Low,Neutral,0,18,12,19,No
School A,Female,15,Rural,2,Apart,None,None,Healthcare,Healthcare,Reputation,Other,27,4,0,Yes,No,No,No,No,No,No,Yes,Bad,,1,Very High,None,Good,1,16,12,14,No
School C,Male,15,Rural,,Apart,Higher,Higher,Technology,Education,Home,Mother,4,1,0,No,No,No,No,Yes,No,No,Yes,Excellent,5,5,Low,Very High,Neutral,0,10,16,13,No
School A,Male,16,Rural,2,Together,Secondary,Primary,Healthcare,Service,Home,Other,,4,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Excellent,1,3,Very High,Very High,Very Bad,0,12,16,,Yes
School C,Male,14,Urban,7,Together,Secondary,Primary,Healthcare,Unemployed,Home,Other,10,4,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Bad,2,1,Very High,Very High,Neutral,1,13,17,14,No
School A,Other,17,Rural,3,Together,None,Higher,Business,Service,Course,Other,47,3,0,Yes,No,No,Yes,No,No,No,Yes,Excellent,,3,Very High,High,Excellent,6,15,16,12,No
School D,Male,14,Suburban,2,Apart,None,Higher,Technology,Technology,Other,Father,37,12,0,Yes,No,No,No,No,Yes,Yes,Yes,Neutral,3,2,High,High,Very Bad,0,7,16,17,No
School B,Male,14,Rural,4,Together,Higher,Primary,Technology,Education,Course,Mother,2,5,1,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Excellent,2,3,None,High,Neutral,5,,11,11,No
School D,Male,17,Urban,4,Together,Higher,Secondary,Service,Healthcare,Course,Father,1,8,0,No,No,No,No,Yes,Yes,No,Yes,Very Bad,1,2,High,Low,Bad,2,,11,7,Yes
School B,Male,16,Suburban,7,Together,Primary,Primary,Business,Unemployed,Other,Mother,11,3,0,No,Yes,No,No,Yes,No,No,No,Bad,1,4,High,High,Neutral,3,15,17,13,No
School B,Male,15,Urban,7,Apart,Secondary,Secondary,Unemployed,Healthcare,Reputation,Father,8,2,0,No,Yes,Yes,No,Yes,No,Yes,No,Very Bad,2,5,Low,Very High,Neutral,5,14,10,17,No
School B,Female,15,Urban,3,Together,Higher,Primary,Unemployed,Healthcare,Home,Other,35,5,0,Yes,Yes,No,No,Yes,No,Yes,No,Bad,4,1,None,Low,Neutral,0,15,10,15,Yes
School B,Other,16,Urban,6,Together,Secondary,Higher,Healthcare,Technology,Home,Father,0,4,0,No,Yes,No,No,No,Yes,Yes,Yes,Excellent,4,1,Medium,None,Good,6,,18,18,No
School A,Male,,Urban,2,Together,None,Secondary,Unemployed,Healthcare,Reputation,Other,,1,0,Yes,Yes,No,Yes,No,No,No,Yes,Neutral,2,,None,Low,Bad,0,12,13,13,No
School A,Other,15,Urban,2,Apart,Secondary,None,Technology,Education,Home,Father,31,2,0,Yes,No,No,Yes,No,No,No,No,Good,5,4,None,High,Excellent,2,12,15,6,No
School B,Female,16,Urban,3,Apart,Primary,Secondary,Healthcare,Unemployed,Course,Mother,7,0,0,Yes,No,Yes,Yes,No,No,Yes,No,Very Bad,1,5,None,Low,Good,1,16,7,13,Yes
School D,Male,16,Suburban,2,Together,Primary,None,Service,Education,Reputation,Mother,14,1,0,No,No,No,No,Yes,Yes,Yes,No,Bad,1,5,Medium,Low,Neutral,0,,19,16,No
School A,Other,16,Suburban,6,Together,Primary,None,Business,Business,Other,Mother,8,1,0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Neutral,5,4,Low,Very High,Excellent,2,15,16,18,No
School C,Male,17,Urban,,Together,Primary,Higher,Healthcare,Unemployed,Reputation,Mother,45,11,0,Yes,Yes,No,No,No,Yes,Yes,Yes,Excellent,4,4,Medium,Medium,Bad,2,8,16,14,No
School D,Female,17,Suburban,,Apart,Higher,Primary,Healthcare,Technology,Reputation,Other,15,7,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Very Bad,3,3,None,Very High,Excellent,2,7,7,12,No
School D,Male,14,Suburban,4,Together,Higher,Higher,Business,Education,Home,Father,1,2,0,No,No,Yes,Yes,No,Yes,Yes,Yes,Very Bad,2,1,Low,Low,Bad,2,10,7,5,No
School B,Other,17,Suburban,6,Apart,Primary,Primary,Unemployed,Education,Home,Father,2,1,0,No,No,No,Yes,Yes,Yes,No,No,Very Bad,1,4,None,None,Good,1,19,11,17,Yes
School B,Other,16,Rural,7,Together,Secondary,Primary,Healthcare,Business,Course,Other,4,3,2,No,Yes,No,No,Yes,Yes,No,Yes,Bad,2,1,Medium,None,Very Bad,3,16,15,9,No
School C,Female,15,Rural,2,Together,None,None,Education,Service,Reputation,Father,6,2,0,No,Yes,No,Yes,Yes,Yes,Yes,No,Excellent,3,1,Low,High,Bad,0,11,17,16,Yes
School B,Other,17,Rural,7,Together,Primary,Secondary,Unemployed,Business,Course,Mother,22,1,0,No,No,Yes,Yes,Yes,No,Yes,No,Good,3,4,Medium,Very High,Very Bad,1,16,18,16,No
School B,Female,16,Rural,6,Together,Secondary,None,Business,Unemployed,Reputation,Father,8,,0,Yes,No,No,No,Yes,Yes,No,No,Neutral,4,,None,None,Excellent,0,10,15,13,Yes
School A,Male,17,Rural,1,Apart,None,Primary,Service,Education,Other,Father,10,1,0,Yes,No,Yes,No,No,No,No,Yes,Very Bad,1,2,Very High,Very High,Neutral,2,14,5,14,Yes
School D,Female,17,Suburban,3,Together,Higher,None,Technology,Healthcare,Other,Father,12,3,0,No,No,Yes,No,Yes,Yes,No,No,Neutral,2,4,None,Low,Very Bad,2,10,12,,No
School C,Female,17,Suburban,6,Together,Secondary,None,Technology,Business,Reputation,Mother,4,2,0,Yes,No,No,Yes,No,Yes,Yes,No,Bad,3,3,None,Low,Neutral,5,17,12,7,No
School B,Other,,Rural,7,Together,Higher,Higher,Unemployed,Service,Other,Other,0,2,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Good,4,5,Low,Medium,Neutral,4,17,17,,Yes
School C,Male,15,Urban,1,Apart,Secondary,None,Business,Healthcare,Home,Father,39,2,0,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Excellent,4,5,None,Medium,Good,0,17,9,7,No
School B,Other,15,Urban,6,Apart,Primary,None,Service,Education,Reputation,Father,2,3,0,Yes,Yes,No,No,Yes,Yes,No,Yes,Very Bad,2,1,None,None,Bad,1,18,11,,No
School C,Other,14,Urban,8,Together,Primary,Primary,Service,Education,Course,Father,3,9,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Bad,2,4,High,Medium,Excellent,8,13,17,,No
School C,Female,15,Rural,2,Apart,Higher,Higher,Business,Education,Home,Mother,4,7,1,Yes,No,No,Yes,Yes,No,No,No,Very Bad,2,2,High,Very High,Neutral,0,14,13,14,No
School B,Male,13,Suburban,4,Together,Primary,Primary,Business,Technology,Course,Father,2,2,0,No,No,No,Yes,No,Yes,No,No,Excellent,5,3,High,High,Excellent,1,8,18,9,No
School D,Female,15,Urban,7,Apart,None,Secondary,Unemployed,Unemployed,Course,Other,4,3,0,No,No,Yes,Yes,No,No,Yes,Yes,Very Bad,2,4,Medium,Very High,Neutral,7,16,,12,No
School B,Female,17,Suburban,4,Together,Higher,None,Technology,Education,Reputation,Mother,39,6,1,Yes,Yes,Yes,No,Yes,Yes,No,No,Excellent,,5,High,Low,Very Bad,2,13,14,13,Yes
School A,Male,15,Suburban,7,Together,Higher,Primary,Service,Technology,Home,Father,4,0,0,Yes,Yes,Yes,No,No,Yes,No,Yes,Neutral,1,1,Low,None,Neutral,0,8,18,15,No
School B,Female,15,Urban,4,Apart,Primary,Secondary,Education,Healthcare,Course,Mother,11,2,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Bad,2,2,Low,Medium,Very Bad,0,17,10,13,No
School D,Female,15,Suburban,4,Together,Secondary,Higher,Unemployed,Education,Reputation,Father,25,5,0,Yes,No,No,Yes,No,No,No,No,Neutral,4,1,Low,Low,Bad,0,12,13,12,No
School C,Other,,Suburban,4,Apart,Primary,None,Technology,Service,Other,Father,2,7,0,Yes,Yes,No,No,Yes,Yes,Yes,No,Neutral,3,3,None,Low,Very Bad,2,11,17,9,No
School D,Female,13,Rural,8,Together,Higher,None,Education,Service,Reputation,Father,1,2,0,Yes,Yes,No,No,No,Yes,No,Yes,Very Bad,4,3,High,Very High,Excellent,4,10,16,14,No
School A,Male,14,Suburban,2,Apart,None,Secondary,Education,Education,Reputation,Mother,34,2,0,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Good,4,,Medium,Very High,Very Bad,1,15,14,15,Yes
School C,Other,17,Urban,2,Together,Primary,Higher,Healthcare,Technology,Other,Mother,18,0,0,Yes,Yes,Yes,No,No,No,Yes,Yes,Good,4,1,Low,None,Bad,0,19,12,16,No
